Description,,Summary Amt.
Beginning balance as of 05/25/2024,,"98.77"
Total credits,,"28,338.50"
Total debits,,"-28,271.51"
Ending balance as of 06/24/2024,,"165.76"

Date,Description,Amount,Running Bal.
05/30/2024,"7-ELEVEN 05/30 PURCHASE Charlotte NC","-2.74","149.64"
05/30/2024,"LOWE'S FOODS # 05/30 PURCHASE HARRISBURG NC","-6.62","143.02"
05/31/2024,"CHARLOTTE MECKLE DES:PR PAYMENT ID:0600-XXXXX9618 INDN:Alla Kouakou Colette CO ID:XXXXX01074 PPD","3,774.94","3,917.96"
05/31/2024,"BANK OF AMERICA, DES:BANK OF AM ID:XXXXXXXXXX8819 INDN:CLAUDE KOUAKOU CO ID:XXXXX76653 PPD","3,023.28","6,941.24"
05/31/2024,"SUVIDHA INTL MARK 05/30 PURCHASE CHARLOTTE NC","-17.14","6,924.10"
06/03/2024,"Online Banking transfer from SAV 8178 Confirmation# XXXXX53015","11,400.00","18,324.10"
06/03/2024,"ADT SECURITY*3144 05/31 PURCHASE XXXXX82727 FL","-59.16","18,264.94"
06/03/2024,"SUNFLOUR BAKING C 06/01 PURCHASE HARRISBURG NC","-8.45","18,256.49"
06/03/2024,"GOLDEN CORRAL 260 06/01 PURCHASE CHARLOTTE NC","-37.84","18,218.65"
06/03/2024,"GOLDEN CORRAL 260 06/01 PURCHASE CHARLOTTE NC","-10.00","18,208.65"
06/03/2024,"FOOD LION #2214 06/01 PURCHASE HARRISBURG NC","-16.69","18,191.96"
06/03/2024,"SIMPLEMOBILE*AIRT 06/01 PURCHASE XXXXX87908 FL","-104.28","18,087.68"
06/03/2024,"NNT SUNFLOUR B 06/02 PURCHASE HARRISBURG NC","-8.45","18,079.23"
06/03/2024,"CIRCLE K 08378 06/02 PURCHASE HARRISBURG NC","-30.33","18,048.90"
06/03/2024,"TFO #128 06/02 PURCHASE CHARLOTTE NC","-95.44","17,953.46"
06/03/2024,"DON JUAN BAKERY 06/02 PURCHASE CHARLOTTE NC","-3.25","17,950.21"
06/03/2024,"COMPARE FOODS SUP 06/02 PURCHASE CHARLOTTE NC","-148.80","17,801.41"
06/03/2024,"Online Banking transfer to SAV 8178 Confirmation# XXXXX18974","-14,400.00","3,401.41"
06/03/2024,"Sendwave 06/03 PMNT SENT XXXXX68603 MA","-290.69","3,110.72"
06/03/2024,"Check 1604","-20.00","3,090.72"
06/03/2024,"Check 1605","-600.00","2,490.72"
06/03/2024,"BANK OF AMERICA CREDIT CARD Bill Payment","-500.00","1,990.72"
06/03/2024,"PREFERREDPARKING DES:MONTHLYACH ID:45806-CLT - 116 INDN:CLAUDE KOUAKOU CO ID:XXXXX49648 PPD","-60.00","1,930.72"
06/04/2024,"Online Banking transfer from SAV 8178 Confirmation# XXXXX04530","4,517.00","6,447.72"
06/04/2024,"Online Banking transfer from SAV 8178 Confirmation# XXXXX53222","500.00","6,947.72"
06/04/2024,"Online Banking transfer from CHK 2102 Confirmation# XXXXX46739","100.00","7,047.72"
06/04/2024,"SUNFLOUR BAKING C 06/03 PURCHASE HARRISBURG NC","-8.24","7,039.48"
06/04/2024,"BACGATEWAYVILLAGE 06/03 PURCHASE CHARLOTTE NC","-7.20","7,032.28"
06/04/2024,"PUBLIX #1555 06/03 PURCHASE HARRISBURG NC","-11.61","7,020.67"
06/04/2024,"IDT BOSS INTL CAL 06/04 PURCHASE XXXXX68312 NJ","-10.00","7,010.67"
06/04/2024,"QT 1065 OUTSID 06/04 PURCHASE CHARLOTTE NC","-36.48","6,974.19"
06/04/2024,"WAL Wal-Mart S 06/04 PURCHASE CONCORD NC","-508.00","6,466.19"
06/04/2024,"WAL Wal-Mart S 06/04 PURCHASE CONCORD NC","-57.31","6,408.88"
06/04/2024,"PUBLIX SUPER M 06/04 PURCHASE HARRISBURG NC","-62.22","6,346.66"
06/04/2024,"PROG PREMIER DES:INS PREM ID:XXXXX5486 Claud INDN:Claude Kouakou CO ID:XXXXX48104 PPD","-125.66","6,221.00"
06/05/2024,"Online Banking transfer from SAV 8178 Confirmation# XXXXX65551","300.00","6,521.00"
06/05/2024,"Online Banking transfer from CHK 2102 Confirmation# XXXXX74500","200.00","6,721.00"
06/05/2024,"Sendwave 06/04 PMNT SENT XXXXX68603 MA","-99.00","6,622.00"
06/05/2024,"BACGATEWAYVILLAGE 06/04 PURCHASE CHARLOTTE NC","-5.40","6,616.60"
06/05/2024,"ASAPTICKETS 80075 06/04 PURCHASE XXXXX00207 DE","-4,067.04","2,549.56"
06/05/2024,"FLYASAPTICKETS 06/04 PURCHASE XXXXX02238 DE","-118.00","2,431.56"
06/05/2024,"CITY OF CONCOR 06/05 PURCHASE CONCORD NC","-220.95","2,210.61"
06/05/2024,"PLANET HOME DES:ACH PMTS ID:XXXXX59329 INDN:CLAUDE KOUAKOU CO ID:XXXXX62771 WEB","-1,702.66","507.95"
06/06/2024,"QT 1031 06/04 PURCHASE HARRISBURG NC","-2.02","505.93"
06/06/2024,"STARBUCKS STORE 0 06/04 PURCHASE CHARLOTTE NC","-2.87","503.06"
06/06/2024,"BACGATEWAYVILLAGE 06/05 PURCHASE CHARLOTTE NC","-7.55","495.51"
06/06/2024,"TAKE 5 OIL CHANGE 06/05 PURCHASE HARRISBURG NC","-77.01","418.50"
06/06/2024,"FOOD LION #2214 06/05 PURCHASE HARRISBURG NC","-30.58","387.92"
06/06/2024,"Sendwave 06/06 PMNT SENT XXXXX68603 MA","-85.48","302.44"
06/07/2024,"QT 1031 06/05 PURCHASE HARRISBURG NC","-20.08","282.36"
06/07/2024,"CVS/PHARMACY #070 06/06 PURCHASE HARRISBURG NC","-18.18","264.18"
06/10/2024,"Online Banking transfer from CHK 2102 Confirmation# XXXXX63152","100.00","364.18"
06/10/2024,"BACGATEWAYVILLAGE 06/07 PURCHASE CHARLOTTE NC","-4.71","359.47"
06/10/2024,"PUBLIX #1555 06/07 PURCHASE HARRISBURG NC","-14.42","345.05"
06/10/2024,"NNT SUNFLOUR B 06/09 PURCHASE HARRISBURG NC","-8.24","336.81"
06/10/2024,"CDIVOIRE WASH US 06/09 PURCHASE XXXXX70300 DC","-150.00","186.81"
06/10/2024,"PUBLIX SUPER M 06/09 PURCHASE HARRISBURG NC","-42.42","144.39"
06/10/2024,"PUBLIX #1555 06/09 PURCHASE HARRISBURG NC","-44.39","100.00"
06/10/2024,"PUBLIX #1555 06/09 PURCHASE HARRISBURG NC","-11.56","88.44"
06/10/2024,"USPS PO 3 4258 06/10 PURCHASE HARRISBURG NC","-19.70","68.74"
06/10/2024,"SHELL SERVICE 06/10 PURCHASE CHARLOTTE NC","-17.47","51.27"
06/10/2024,"LOWE'S FOODS # 06/10 PURCHASE HARRISBURG NC","-37.15","14.12"
06/11/2024,"SUNFLOUR BAKING C 06/10 PURCHASE HARRISBURG NC","-8.45","5.67"
06/11/2024,"BACGATEWAYVILLAGE 06/10 PURCHASE CHARLOTTE NC","-5.41","0.26"
06/12/2024,"Online Banking transfer from SAV 8178 Confirmation# XXXXX92600","200.00","200.26"
06/12/2024,"Online Banking transfer from SAV 8178 Confirmation# XXXXX75750","200.00","400.26"
06/13/2024,"BACGATEWAYVILLAGE 06/12 PURCHASE CHARLOTTE NC","-0.26","400.00"
06/13/2024,"CIRCLE K 05111 06/12 PURCHASE CHARLOTTE NC","-23.31","376.69"
06/13/2024,"STARBUCKS 08460 06/12 PURCHASE CHARLOTTE NC","-7.20","369.49"
06/13/2024,"CHARLOTTE MARKET 06/12 PURCHASE CHARLOTTE NC","-47.60","321.89"
06/13/2024,"BELK #329 7115 06/13 PURCHASE CHARLOTTE NC","-26.67","295.22"
06/14/2024,"BANK OF AMERICA, DES:BANK OF AM ID:XXXXXXXXXX8819 INDN:CLAUDE KOUAKOU CO ID:XXXXX76653 PPD","3,023.27","3,318.49"
06/14/2024,"AHPC CFM HARRISBU 06/13 PURCHASE HARRISBURG NC","-20.00","3,298.49"
06/14/2024,"AHPC CFM HARRISBU 06/13 PURCHASE HARRISBURG NC","-125.81","3,172.68"
06/14/2024,"BACGATEWAYVILLAGE 06/13 PURCHASE CHARLOTTE NC","-5.85","3,166.83"
06/14/2024,"NNT SUNFLOUR B 06/14 PURCHASE HARRISBURG NC","-8.45","3,158.38"
06/17/2024,"PUBLIX #1555 06/14 PURCHASE HARRISBURG NC","-33.99","3,124.39"
06/17/2024,"SYNCB PAYMENT 06/15 PURCHASE XXXXX19049 GA","-60.00","3,064.39"
06/17/2024,"TARGET 000 06/15 PURCHASE CHARLOTTE NC","-27.13","3,037.26"
06/17/2024,"WAL-MART #2134 06/15 PURCHASE CHARLOTTE NC","-44.08","2,993.18"
06/17/2024,"INDIAN WHOLESALE 06/15 PURCHASE CHARLOTTE NC","-80.76","2,912.42"
06/17/2024,"LOWE'S FOODS # 06/15 PURCHASE HARRISBURG NC","-26.31","2,886.11"
06/17/2024,"BOJANGLES 479 06/15 PURCHASE HARRISBURG NC","-4.90","2,881.21"
06/17/2024,"SUNFLOUR BAKING C 06/16 PURCHASE HARRISBURG NC","-8.45","2,872.76"
06/17/2024,"TARGET 000 06/16 PURCHASE CHARLOTTE NC","-45.17","2,827.59"
06/17/2024,"Check 1581","-20.00","2,807.59"
06/17/2024,"Check 1582","-300.00","2,507.59"
06/17/2024,"PLANET FITNESS U DES:IClub Fees ID:PRXXXXX01344121 INDN:CLAUDE KOUAKOU CO ID:GXXXXX2737 PPD PMT INFO:XXXXX82722","-10.00","2,497.59"
06/18/2024,"BURLINGTON STORES 06/16 PURCHASE CHARLOTTE NC","-123.32","2,374.27"
06/18/2024,"Spectrum 06/17 PURCHASE XXXXX77328 MO","-123.93","2,250.34"
06/18/2024,"SUNFLOUR BAKING C 06/17 PURCHASE HARRISBURG NC","-9.04","2,241.30"
06/18/2024,"BACGATEWAYVILLAGE 06/17 PURCHASE CHARLOTTE NC","-5.41","2,235.89"
06/18/2024,"AMAZON MKTPL*VE7O 06/17 PURCHASE XXXXX61072 WA","-64.18","2,171.71"
06/18/2024,"NNT SUNFLOUR B 06/18 PURCHASE HARRISBURG NC","-8.45","2,163.26"
06/18/2024,"INDIAN WH INDI 06/18 PURCHASE CHARLOTTE NC","-8.15","2,155.11"
06/18/2024,"DUKEENERGYCORPOR DES:WEB_PAY ID:XXXXXXXXXX1724 INDN:XXXXX02960 CO ID:XXXXX30001 PPD","-191.56","1,963.55"
06/18/2024,"SPECTRUM DES:SPECTRUM ID:8196956 INDN:CHECKING2092 CO ID:XXXXX58635 WEB","-178.83","1,784.72"
06/18/2024,"DOMINION ENERGY DES:DRAFT ID:XXXXX24956820 INDN:CLAUDE N KOUAKOU CO ID:XXXXX48695 WEB","-31.93","1,752.79"
06/20/2024,"Online Banking transfer from CHK 2102 Confirmation# XXXXX85701","500.00","2,252.79"
06/20/2024,"IW BAKERY 06/18 PURCHASE CHARLOTTE NC","-13.16","2,239.63"
06/20/2024,"NETFLIX COM 06/19 PURCHASE LOS GATOS CA","-16.57","2,223.06"
06/20/2024,"SUNFLOUR BAKING C 06/19 PURCHASE HARRISBURG NC","-8.45","2,214.61"
06/20/2024,"SQ *YEUNG'S LOTUS 06/19 PURCHASE Charlotte NC","-31.13","2,183.48"
06/20/2024,"Online Banking transfer to CHK 2102 Confirmation# XXXXX49390","-1,000.00","1,183.48"
06/20/2024,"7-ELEVEN 06/20 PURCHASE Charlotte NC","-7.33","1,176.15"
06/20/2024,"BELK #329 7115 06/20 PURCHASE CHARLOTTE NC","-300.00","876.15"
06/20/2024,"BURLINGTON STO 06/20 PURCHASE CHARLOTTE NC","-411.65","464.50"
06/20/2024,"BURLINGTON STO 06/20 PURCHASE CHARLOTTE NC","-28.92","435.58"
06/20/2024,"CITY OF CONCORD DES:UTILITY ID:8391716 INDN:CLAUDE *KOUAKOU CO ID:XXXXX63576 TEL","-77.33","358.25"
06/20/2024,"IC FEE CONCORD DES:WEB PAYMNT ID:8391730 INDN:CLAUDE *KOUAKOU CO ID:XXXXX63576 TEL","-2.95","355.30"
06/21/2024,"Online Banking transfer from CHK 2102 Confirmation# XXXXX63793","200.00","555.30"
06/21/2024,"SUNFLOUR BAKING C 06/20 PURCHASE HARRISBURG NC","-9.04","546.26"
06/21/2024,"PUBLIX #1555 06/20 PURCHASE HARRISBURG NC","-50.91","495.35"
06/21/2024,"CIRCLE K 08378 06/21 PURCHASE HARRISBURG NC","-20.30","475.05"
06/21/2024,"DUKEENERGYCORPOR DES:WEB_PAY ID:XXXXXXXXXX2024 INDN:XXXXX11977 CO ID:XXXXX30001 PPD","-100.00","375.05"
06/24/2024,"SUNFLOUR BAKING C 06/21 PURCHASE HARRISBURG NC","-8.45","366.60"
06/24/2024,"SUNFLOUR BAKING C 06/22 PURCHASE HARRISBURG NC","-8.45","358.15"
06/24/2024,"QT 1031 06/22 PURCHASE HARRISBURG NC","-25.35","332.80"
06/24/2024,"FOOD LION #2214 06/22 PURCHASE HARRISBURG NC","-8.14","324.66"
06/24/2024,"CVS/PHARMACY #070 06/23 PURCHASE HARRISBURG NC","-60.07","264.59"
06/24/2024,"WALGREENS 4305 06/23 PURCHASE HARRISBURG NC","-31.61","232.98"
06/24/2024,"Sendwave 06/24 PMNT SENT XXXXX68603 MA","-67.23","165.75"
06/24/2024,"Interest Earned","0.01","165.76"
